Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,season
Deyonta Davis,C,20,MEM,3,11,27.7,.595,.000,.400,23.5,35.4,29.4,0.0,0.0,0.0,0.0,26.8,,0.0,0.0,0.0,.215,,3.7,-4.6,-0.8,0.0,2017
Dewayne Dedmon,C,27,SAS,12,97,21.7,.607,.000,1.391,24.0,32.3,28.0,4.6,1.1,3.1,17.7,20.6,,0.2,0.1,0.3,.170,,0.8,-0.5,0.2,0.1,2017
Sam Dekker,PF,22,HOU,4,31,12.4,.375,.500,.000,17.9,17.0,17.4,4.8,1.6,2.5,0.0,17.0,,0.0,0.0,0.1,.078,,2.3,-2.3,0.0,0.0,2017
Malcolm Delaney,PG,27,ATL,1,3,105.5,1.031,.333,.667,0.0,37.5,18.7,0.0,0.0,0.0,0.0,54.8,,0.1,0.0,0.1,1.801,,39.0,13.0,52.0,0.0,2017
Matthew Dellavedova,PG,26,MIL,6,159,6.9,.507,.390,.244,0.7,9.0,4.5,12.1,0.3,0.0,13.4,15.7,,-0.1,0.2,0.1,.029,,-2.8,-1.8,-4.6,-0.1,2017
DeMar DeRozan,SG,27,TOR,10,373,16.6,.533,.086,.457,1.3,14.5,8.0,17.1,1.9,0.0,10.6,29.6,,0.1,0.4,0.5,.062,,0.7,-0.5,0.2,0.2,2017
Boris Diaw,PF,34,UTA,11,203,11.9,.601,.292,.208,1.8,10.7,6.2,17.4,1.8,1.8,21.1,15.6,,0.1,0.2,0.3,.061,,-0.1,1.8,1.7,0.2,2017
Mike Dunleavy,SF,36,ATL,6,53,3.5,.685,.714,.571,2.1,8.5,5.3,5.2,0.9,0.0,40.7,11.8,,-0.1,0.0,0.0,-0.012,,-4.8,0.0,-4.8,0.0,2017
Kevin Durant,PF,28,GSW,15,533,27.5,.683,.321,.384,3.5,19.5,12.0,19.5,1.1,3.0,10.8,28.3,,2.2,0.9,3.1,.280,,8.2,1.7,9.9,1.6,2017
Monta Ellis,SG,31,IND,4,76,7.4,.495,.400,.250,1.5,11.0,6.2,8.9,1.3,1.3,15.3,15.1,,0.0,0.0,0.0,-0.024,,-3.9,-0.9,-4.8,-0.1,2017
James Ennis III,SF,26,MEM,6,159,11.3,.566,.500,.368,6.5,13.9,10.2,7.2,1.8,1.2,13.7,16.1,,0.1,0.0,0.2,.046,,-0.8,0.2,-0.6,0.1,2017
Dante Exum,PG,21,UTA,7,84,13.3,.540,.444,.222,2.8,5.7,4.3,17.5,3.1,0.0,9.2,18.5,,0.1,0.1,0.2,.097,,0.7,2.3,3.0,0.1,2017
Derrick Favors,PF,25,UTA,11,225,17.0,.575,.000,.371,8.0,24.1,16.0,7.6,1.9,2.4,5.3,16.1,,0.4,0.3,0.7,.145,,0.8,2.0,2.8,0.3,2017
Cristiano Felício,C,24,CHI,6,82,8.9,.598,.000,.133,9.7,25.6,17.8,3.8,1.9,2.5,30.6,12.6,,-0.1,0.1,0.1,.034,,-6.6,0.7,-5.9,-0.1,2017
Raymond Felton,PG,32,LAC,7,127,12.4,.570,.281,.156,2.0,8.2,5.0,12.3,2.5,0.0,8.1,14.1,,0.2,0.1,0.3,.115,,0.3,2.1,2.5,0.1,2017
Bryn Forbes,SG,23,SAS,6,73,3.8,.423,.429,.286,0.0,9.9,4.7,5.6,0.0,1.4,7.8,15.5,,-0.1,0.0,0.0,-0.026,,-6.1,-2.6,-8.7,-0.1,2017
Enes Freedom,C,24,OKC,5,45,10.9,.432,.000,.154,6.8,15.2,10.8,3.8,0.0,8.5,6.7,28.3,,-0.1,0.0,0.0,-0.045,,-4.9,-2.9,-7.8,-0.1,2017
