Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
Bones Hyland,SG,21,DEN,5,0,17.4,2.6,7.2,.361,1.6,4.6,.348,1.0,2.6,.385,.472,2.4,2.8,.857,0.2,1.8,2.0,3.2,0.2,0.0,1.2,2.4,9.2,2022
Serge Ibaka,C,32,MIL,6,0,3.7,0.7,2.7,.250,0.0,0.5,.000,0.7,2.2,.308,.250,0.2,0.3,.500,0.3,1.3,1.7,0.0,0.0,0.0,0.3,0.2,1.5,2022
Andre Iguodala,SF,38,GSW,7,0,8.7,0.6,1.3,.444,0.1,0.4,.333,0.4,0.9,.500,.500,0.3,0.4,.667,0.4,0.6,1.0,1.7,0.0,0.3,0.6,1.6,1.6,2022
Brandon Ingram,SF,24,NOP,6,6,39.3,9.3,19.7,.475,1.8,4.5,.407,7.5,15.2,.495,.521,6.5,7.8,.830,0.7,5.5,6.2,6.2,0.7,0.3,3.8,1.8,27.0,2022
Kyrie Irving,PG,29,BRK,4,4,42.5,7.0,15.8,.444,2.0,5.3,.381,5.0,10.5,.476,.508,5.3,5.3,1.000,1.5,3.8,5.3,5.3,1.8,1.3,2.3,3.3,21.3,2022
Jaren Jackson Jr.,PF,22,MEM,12,12,27.7,4.9,13.0,.378,2.3,6.0,.375,2.7,7.0,.381,.465,3.3,4.4,.755,2.2,4.6,6.8,0.9,0.8,2.5,1.4,4.4,15.4,2022
Isaiah Joe,SG,22,PHI,7,0,2.1,0.3,0.7,.400,0.1,0.4,.333,0.1,0.3,.500,.500,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.4,0.1,0.7,2022
Cameron Johnson,PF,25,PHO,13,3,24.6,3.5,7.6,.465,1.7,4.5,.373,1.8,3.1,.600,.576,2.0,2.5,.813,0.7,2.8,3.5,1.5,0.4,0.1,0.9,2.4,10.8,2022
Jalen Johnson,PF,20,ATL,2,0,4.5,0.0,1.5,.000,0.0,0.5,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2022
Nikola Jokić,C,26,DEN,5,5,34.2,12.2,21.2,.575,1.0,3.6,.278,11.2,17.6,.636,.599,5.6,6.6,.848,3.4,9.8,13.2,5.8,1.6,1.0,4.8,4.0,31.0,2022
Derrick Jones Jr.,PF,24,CHI,5,0,11.8,1.4,3.4,.412,0.6,2.2,.273,0.8,1.2,.667,.500,0.4,0.6,.667,0.6,0.8,1.4,0.4,0.2,0.0,0.6,1.6,3.8,2022
Herbert Jones,PF,23,NOP,6,6,37.7,3.5,7.3,.477,0.8,2.0,.417,2.7,5.3,.500,.534,2.8,3.7,.773,1.3,2.0,3.3,1.8,1.8,0.8,1.3,3.7,10.7,2022
Tyus Jones,PG,25,MEM,12,3,21.8,3.3,8.3,.394,1.5,3.8,.400,1.8,4.5,.389,.485,1.2,1.3,.933,0.3,2.9,3.3,4.5,1.2,0.2,1.1,0.7,9.2,2022
DeAndre Jordan,C,33,PHI,3,2,10.3,1.7,1.7,1.000,0.0,0.0,,1.7,1.7,1.000,1.000,0.0,0.0,,0.3,2.0,2.3,0.3,0.0,0.7,0.7,1.3,3.3,2022
Maxi Kleber,PF,30,DAL,18,0,25.4,3.0,5.9,.509,1.9,4.3,.436,1.1,1.6,.714,.670,0.8,1.2,.714,0.8,3.7,4.6,1.1,0.2,0.8,0.6,2.7,8.7,2022
Kevin Knox,SF,22,ATL,2,0,4.5,3.5,5.5,.636,3.0,5.0,.600,0.5,0.5,1.000,.909,1.0,1.0,1.000,0.0,1.0,1.0,0.0,1.0,0.0,1.5,0.0,11.0,2022
John Konchar,SG,25,MEM,8,0,7.0,0.4,1.4,.273,0.1,0.8,.167,0.3,0.6,.400,.318,0.3,0.3,1.000,0.4,2.0,2.4,0.6,0.4,0.1,0.1,0.9,1.1,2022
Furkan Korkmaz,SG,24,PHI,9,0,6.8,1.2,2.6,.478,0.4,1.1,.400,0.8,1.4,.538,.565,0.2,0.2,1.000,0.1,1.2,1.3,0.4,0.1,0.1,0.2,0.8,3.1,2022
Luke Kornet,C,26,BOS,9,0,2.1,0.3,0.4,.750,0.1,0.1,1.000,0.2,0.3,.667,.875,0.0,0.0,,0.1,0.4,0.6,0.1,0.0,0.0,0.1,0.1,0.8,2022
Jonathan Kuminga,SF,19,GSW,16,3,8.6,1.9,3.8,.500,0.2,0.8,.231,1.7,2.9,.574,.525,1.3,1.6,.769,0.3,1.4,1.7,0.5,0.2,0.1,0.7,0.7,5.2,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Zach LaVine,SG,26,CHI,4,4,38.3,6.8,15.8,.429,2.3,6.0,.375,4.5,9.8,.462,.500,3.5,3.8,.933,0.0,5.3,5.3,6.0,0.8,0.3,3.0,2.3,19.3,2022
Damion Lee,SG,29,GSW,16,0,7.8,0.8,2.1,.382,0.3,1.0,.250,0.6,1.1,.500,.441,0.1,0.2,.667,0.3,1.3,1.6,0.4,0.1,0.0,0.4,0.5,2.0,2022
Kevon Looney,C,25,GSW,22,13,20.4,2.6,4.0,.659,0.0,0.0,,2.6,4.0,.659,.659,0.5,0.8,.611,2.9,4.8,7.6,2.2,0.4,0.5,0.9,2.3,5.8,2022
Brook Lopez,C,33,MIL,12,12,27.7,4.2,8.5,.490,0.5,2.3,.214,3.7,6.2,.595,.520,1.8,1.9,.913,2.3,3.7,5.9,0.7,0.5,1.5,0.9,2.8,10.6,2022
Kyle Lowry,PG,35,MIA,10,10,29.5,2.5,8.6,.291,1.3,5.4,.241,1.2,3.2,.375,.366,1.5,1.9,.789,0.3,3.3,3.6,4.7,1.2,0.7,1.9,2.9,7.8,2022
Timothé Luwawu-Cabarrot,SF,26,ATL,4,0,5.5,0.5,1.0,.500,0.3,0.8,.333,0.3,0.3,1.000,.625,0.0,0.0,,0.0,0.8,0.8,0.5,0.0,0.0,0.3,1.5,1.3,2022
Boban Marjanović,C,33,DAL,3,0,2.0,0.3,1.3,.250,0.0,0.0,,0.3,1.3,.250,.250,0.7,0.7,1.000,0.0,1.0,1.0,0.0,0.3,0.0,0.7,0.0,1.3,2022
Naji Marshall,SF,24,NOP,6,0,9.3,1.2,1.7,.700,0.0,0.0,,1.2,1.7,.700,.700,0.7,0.7,1.000,0.5,0.5,1.0,0.8,0.2,0.2,0.5,0.8,3.0,2022
Caleb Martin,SF,26,MIA,17,0,12.3,1.9,4.7,.400,0.6,1.9,.303,1.3,2.8,.468,.463,0.1,0.4,.333,0.7,1.5,2.2,0.3,0.6,0.1,0.6,1.0,4.5,2022
Wesley Matthews,SG,35,MIL,12,12,28.8,2.1,5.3,.391,1.5,3.8,.400,0.6,1.6,.368,.531,0.5,0.8,.667,0.8,2.3,3.1,1.2,0.8,0.3,0.5,2.3,6.2,2022
Tyrese Maxey,PG,21,PHI,12,12,40.4,7.3,15.2,.484,2.2,5.8,.377,5.2,9.4,.549,.555,3.9,4.2,.940,0.5,3.0,3.5,3.9,0.8,0.2,1.8,2.0,20.8,2022
Skylar Mays,SG,24,ATL,2,0,4.5,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,1.0,2022
CJ McCollum,PG,30,NOP,6,6,39.0,8.2,20.8,.392,2.8,8.5,.333,5.3,12.3,.432,.460,3.0,4.3,.692,1.8,4.8,6.7,4.8,0.7,0.8,2.5,2.5,22.2,2022
Jaden McDaniels,PF,21,MIN,6,0,21.7,3.0,5.7,.529,1.7,3.3,.500,1.3,2.3,.571,.676,1.7,2.0,.833,0.8,2.0,2.8,0.7,0.3,1.8,1.0,3.0,9.3,2022
JaVale McGee,C,34,PHO,12,0,11.1,2.9,4.2,.700,0.0,0.1,.000,2.9,4.1,.714,.700,0.9,1.1,.846,1.3,2.7,4.0,0.6,0.3,0.4,0.8,2.3,6.8,2022
Jordan McLaughlin,PG,25,MIN,5,0,16.6,2.4,3.4,.706,0.8,1.4,.571,1.6,2.0,.800,.824,0.6,0.8,.750,0.0,2.4,2.4,3.4,1.0,0.0,0.4,1.0,6.2,2022
De'Anthony Melton,SG,23,MEM,10,0,17.0,2.1,6.5,.323,1.1,4.4,.250,1.0,2.1,.476,.408,0.3,0.4,.750,0.9,2.2,3.1,1.6,1.0,0.5,1.4,0.9,5.6,2022
Khris Middleton,SF,30,MIL,2,2,36.0,5.0,12.0,.417,3.0,7.0,.429,2.0,5.0,.400,.542,1.5,1.5,1.000,0.5,4.5,5.0,7.0,1.5,0.0,5.5,3.0,14.5,2022
Patty Mills,SG,33,BRK,4,0,18.0,2.3,4.0,.563,1.8,3.3,.538,0.5,0.8,.667,.781,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.3,0.3,1.3,6.3,2022
Paul Millsap,C,36,PHI,1,0,6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Shake Milton,SG,25,PHI,12,0,13.2,1.5,3.2,.474,0.7,1.3,.533,0.8,1.9,.435,.579,1.3,1.7,.800,0.3,1.3,1.6,0.9,0.5,0.3,0.4,1.1,5.0,2022
Donovan Mitchell,SG,25,UTA,6,6,38.2,8.8,22.2,.398,1.7,8.0,.208,7.2,14.2,.506,.436,6.2,7.0,.881,1.0,3.3,4.3,5.7,0.7,0.5,2.7,2.3,25.5,2022
Greg Monroe,C,31,MIN,2,0,3.5,1.0,2.5,.400,0.0,0.0,,1.0,2.5,.400,.400,0.0,0.0,,0.5,0.5,1.0,0.5,1.0,0.0,0.5,0.5,2.0,2022
Moses Moody,SG,19,GSW,13,0,8.1,1.2,2.2,.536,0.5,1.0,.538,0.6,1.2,.533,.661,0.3,0.5,.667,0.2,0.5,0.6,0.3,0.2,0.2,0.2,0.3,3.2,2022
Ja Morant,PG,22,MEM,9,9,37.6,9.0,20.4,.440,1.9,5.6,.340,7.1,14.9,.478,.486,7.2,9.7,.747,1.4,6.6,8.0,9.8,2.0,0.4,3.6,2.4,27.1,2022
Juwan Morgan,PF,24,BOS,9,0,1.7,0.0,0.1,.000,0.0,0.1,.000,0.0,0.0,,.000,0.1,0.2,.500,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.1,0.1,2022
Markieff Morris,PF,32,MIA,1,0,3.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2022
Monte Morris,PG,26,DEN,5,5,31.2,5.0,10.2,.490,2.2,5.2,.423,2.8,5.0,.560,.598,1.8,2.4,.750,0.2,2.0,2.2,5.4,1.2,0.0,1.6,2.8,14.0,2022
Trey Murphy III,SF,21,NOP,6,0,20.0,1.5,3.7,.409,1.5,3.2,.474,0.0,0.5,.000,.614,0.7,0.8,.800,0.5,2.0,2.5,0.5,0.5,0.2,0.2,1.5,5.2,2022
Svi Mykhailiuk,SF,24,TOR,3,0,1.7,0.0,0.7,.000,0.0,0.7,.000,0.0,0.0,,.000,0.3,0.3,1.000,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,2022
