Player,Tm,season,Ave +/-
Chris Johnson,UTA,2016,0.3137254901960784
James Johnson,TOR,2016,0.4186046511627907
Joe Johnson,TOT,2016,-0.8548387096774194
Joe Johnson,BRK,2016,-0.8548387096774194
Joe Johnson,MIA,2016,-0.8548387096774194
Orlando Johnson,TOT,2016,-2.8333333333333335
Orlando Johnson,PHO,2016,-2.8333333333333335
Orlando Johnson,NOP,2016,-2.8333333333333335
Stanley Johnson,DET,2016,-1.9107142857142858
Tyler Johnson,MIA,2016,1.5925925925925926
Wesley Johnson,LAC,2016,2.180327868852459
Nikola Jokić,DEN,2016,0.47540983606557374
Dahntay Jones,CLE,2016,-1.0
James Jones,CLE,2016,-0.32432432432432434
Terrence Jones,HOU,2016,-4.648648648648648
Tyus Jones,MIN,2016,-3.4444444444444446
DeAndre Jordan,LAC,2016,6.203389830508475
Cory Joseph,TOR,2016,4.774193548387097
Chris Kaman,POR,2016,-0.7
Frank Kaminsky,CHO,2016,0.7580645161290323
Sergey Karasev,BRK,2016,-0.39285714285714285
Sasha Kaun,CLE,2016,0.05555555555555555
Ryan Kelly,LAL,2016,-0.7777777777777778
Michael Kidd-Gilchrist,CHO,2016,9.8
Sean Kilpatrick,TOT,2016,-3.727272727272727
Sean Kilpatrick,DEN,2016,-3.727272727272727
Sean Kilpatrick,BRK,2016,-3.727272727272727
Brandon Knight,PHO,2016,-3.3421052631578947
Kyle Korver,ATL,2016,5.6
Kosta Koufos,SAC,2016,-1.8166666666666667
Jeremy Lamb,CHO,2016,2.326923076923077
Carl Landry,PHI,2016,-3.8620689655172415
Shane Larkin,BRK,2016,-4.728813559322034
Joffrey Lauvergne,DEN,2016,-4.348837209302325
Zach LaVine,MIN,2016,-3.0
Ty Lawson,TOT,2016,-1.7450980392156863
Ty Lawson,HOU,2016,-1.7450980392156863
Ty Lawson,IND,2016,-1.7450980392156863
Courtney Lee,TOT,2016,1.5263157894736843
Courtney Lee,MEM,2016,1.5263157894736843
Courtney Lee,CHO,2016,1.5263157894736843
David Lee,TOT,2016,-1.4871794871794872
David Lee,BOS,2016,-1.4871794871794872
David Lee,DAL,2016,-1.4871794871794872
Alex Len,PHO,2016,-3.610169491525424
Kawhi Leonard,SAS,2016,8.925925925925926
Meyers Leonard,POR,2016,0.5531914893617021
Jon Leuer,PHO,2016,-0.75
Damian Lillard,POR,2016,0.7142857142857143
Jeremy Lin,CHO,2016,1.576271186440678
Shaun Livingston,GSW,2016,2.5172413793103448
Kevon Looney,GSW,2016,-7.333333333333333
Brook Lopez,BRK,2016,-0.8363636363636363
Robin Lopez,NYK,2016,-2.435483870967742
Kevin Love,CLE,2016,6.0344827586206895
Kyle Lowry,TOR,2016,4.810344827586207
Trey Lyles,UTA,2016,-0.01639344262295082
Shelvin Mack,TOT,2016,1.8421052631578947
Shelvin Mack,ATL,2016,1.8421052631578947
Shelvin Mack,UTA,2016,1.8421052631578947
Ian Mahinmi,IND,2016,2.830188679245283
Devyn Marble,ORL,2016,-1.3333333333333333
Boban Marjanović,SAS,2016,1.0
Kendall Marshall,PHI,2016,-3.9545454545454546
Jarell Martin,MEM,2016,-1.375
Kevin Martin,TOT,2016,-1.4666666666666666
Kevin Martin,MIN,2016,-1.4666666666666666
Kevin Martin,SAS,2016,-1.4666666666666666
Wesley Matthews,DAL,2016,1.0689655172413792
O.J. Mayo,MIL,2016,-0.7241379310344828
Luc Mbah a Moute,LAC,2016,1.8275862068965518
James Michael McAdoo,GSW,2016,-1.9411764705882353
Ray McCallum,TOT,2016,1.1764705882352942
Ray McCallum,SAS,2016,1.1764705882352942
Ray McCallum,MEM,2016,1.1764705882352942
CJ McCollum,POR,2016,2.6333333333333333
T.J. McConnell,PHI,2016,-4.483870967741935
Chris McCullough,BRK,2016,-3.3333333333333335
K.J. McDaniels,HOU,2016,1.7
Doug McDermott,CHI,2016,-1.7419354838709677
Mitch McGary,OKC,2016,-2.1538461538461537
JaVale McGee,DAL,2016,-2.269230769230769
Ben McLemore,SAC,2016,0.3333333333333333
Jordan McRae,TOT,2016,0.9333333333333333
Jordan McRae,PHO,2016,0.9333333333333333
Jordan McRae,CLE,2016,0.9333333333333333
Josh McRoberts,MIA,2016,0.06666666666666667
Jodie Meeks,DET,2016,3.0
Salah Mejri,DAL,2016,3.32
Jordan Mickey,BOS,2016,0.2
Khris Middleton,MIL,2016,-0.43333333333333335
C.J. Miles,IND,2016,0.3469387755102041
Andre Miller,TOT,2016,1.2222222222222223
Andre Miller,MIN,2016,1.2222222222222223
Andre Miller,SAS,2016,1.2222222222222223
Mike Miller,DEN,2016,-1.5588235294117647
Patty Mills,SAS,2016,4.704918032786885
Elijah Millsap,UTA,2016,0.5333333333333333
Paul Millsap,ATL,2016,2.19672131147541
Nikola Mirotić,CHI,2016,1.5294117647058822
Nazr Mohammed,OKC,2016,-0.75
Greg Monroe,MIL,2016,-0.8166666666666667
Luis Montero,POR,2016,-3.4444444444444446
E'Twaun Moore,CHI,2016,0.6595744680851063
Eric Moreland,SAC,2016,0.0
Marcus Morris,DET,2016,1.6333333333333333
Markieff Morris,TOT,2016,-1.4883720930232558
Markieff Morris,PHO,2016,-1.4883720930232558
Markieff Morris,WAS,2016,-1.4883720930232558
Anthony Morrow,OKC,2016,1.7169811320754718
Donatas Motiejūnas,HOU,2016,0.6785714285714286
Timofey Mozgov,CLE,2016,0.6206896551724138
Emmanuel Mudiay,DEN,2016,-2.0588235294117645
Shabazz Muhammad,MIN,2016,-3.3225806451612905
Xavier Munford,MEM,2016,-0.5454545454545454
Mike Muscala,ATL,2016,-1.2272727272727273
Larry Nance Jr.,LAL,2016,-1.4680851063829787
Shabazz Napier,ORL,2016,-0.6521739130434783
Gary Neal,WAS,2016,-4.387096774193548
Jameer Nelson,DEN,2016,-4.666666666666667
Raul Neto,UTA,2016,1.459016393442623
Andrew Nicholson,ORL,2016,0.6976744186046512
Joakim Noah,CHI,2016,-0.391304347826087
Nerlens Noel,PHI,2016,-6.784313725490196
Lucas Nogueira,TOR,2016,0.0
Steve Novak,TOT,2016,1.125
Steve Novak,OKC,2016,1.125
Steve Novak,MIL,2016,1.125
Dirk Nowitzki,DAL,2016,2.912280701754386
Jusuf Nurkić,DEN,2016,1.1
J.J. O'Brien,UTA,2016,-4.0
Johnny O'Bryant,MIL,2016,-1.3265306122448979
Kyle O'Quinn,NYK,2016,-0.7
Jahlil Okafor,PHI,2016,-9.024390243902438
Victor Oladipo,ORL,2016,-0.7090909090909091
Kelly Olynyk,BOS,2016,3.196078431372549
Kelly Oubre Jr.,WAS,2016,-0.56
Zaza Pachulia,DAL,2016,-1.4482758620689655
Kostas Papanikolaou,DEN,2016,-0.2608695652173913
Jabari Parker,MIL,2016,-2.9482758620689653
Tony Parker,SAS,2016,6.2407407407407405
Chandler Parsons,DAL,2016,-0.2222222222222222
Lamar Patterson,ATL,2016,-0.9130434782608695
Patrick Patterson,TOR,2016,6.508196721311475
Chris Paul,LAC,2016,6.948275862068965
Adreian Payne,MIN,2016,-1.4878048780487805
Cameron Payne,OKC,2016,-0.6136363636363636
