Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
Julian Champagnie,SF,22,SAS,9,4,15.0,1.6,5.6,.280,1.0,3.6,.281,0.6,2.0,.278,.370,0.6,0.7,.833,0.3,1.3,1.7,1.0,0.7,0.9,1.0,0.6,4.7,2024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Max Christie,SG,20,LAL,12,2,16.3,1.7,4.3,.385,0.5,2.0,.250,1.2,2.3,.500,.442,0.3,0.4,.800,0.3,2.7,2.9,1.0,0.3,0.2,0.7,1.2,4.2,2024
Sidy Cissoko,SF,19,SAS,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2024
Jordan Clarkson,SG,31,UTA,15,15,31.9,6.8,16.0,.425,1.8,5.6,.321,5.0,10.4,.481,.481,2.9,3.5,.827,1.3,1.9,3.3,4.6,0.9,0.1,3.3,1.5,18.3,2024
Nic Claxton,C,24,BRK,7,7,26.6,5.4,8.1,.667,0.0,0.0,,5.4,8.1,.667,.667,1.4,2.3,.625,2.9,5.4,8.3,1.7,0.7,2.7,0.9,2.7,12.3,2024
Noah Clowney,PF,19,BRK,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Amir Coffey,SF,26,LAC,8,0,7.0,0.5,1.5,.333,0.0,0.4,.000,0.5,1.1,.444,.333,0.5,0.5,1.000,0.3,0.6,0.9,0.4,0.1,0.0,0.3,0.4,1.5,2024
John Collins,PF,26,UTA,16,16,31.4,5.6,11.1,.500,1.4,3.4,.418,4.1,7.7,.537,.565,2.0,2.8,.727,2.9,5.8,8.8,0.9,0.6,0.9,1.2,3.1,14.6,2024
Zach Collins,C,26,SAS,16,16,29.7,5.5,10.9,.506,1.1,4.1,.273,4.4,6.8,.648,.557,2.3,2.9,.787,2.0,4.4,6.4,3.8,0.7,0.8,2.7,3.6,14.4,2024
Mike Conley,PG,36,MIN,15,15,28.5,3.5,7.5,.469,1.9,4.3,.431,1.7,3.2,.521,.593,0.9,0.9,1.000,0.6,2.1,2.7,5.5,0.9,0.1,0.8,1.8,9.9,2024
Pat Connaughton,SF,31,MIL,16,0,23.9,2.1,5.1,.407,1.1,3.4,.333,0.9,1.7,.556,.519,0.5,0.8,.667,0.6,3.0,3.6,2.1,0.5,0.2,0.8,1.1,5.8,2024
Bilal Coulibaly,SF,19,WAS,15,1,26.0,3.1,6.0,.511,1.3,2.9,.442,1.8,3.1,.574,.617,0.9,1.4,.619,0.4,3.2,3.6,1.9,0.9,0.8,1.3,2.0,8.3,2024
Robert Covington,SF-PF,33,TOT,16,6,17.4,1.6,3.8,.433,0.6,2.1,.294,1.0,1.6,.615,.517,0.7,0.9,.786,1.1,2.0,3.1,0.9,1.5,0.8,0.3,1.9,4.6,2024
Robert Covington,PF,33,LAC,3,3,23.0,1.0,3.0,.333,0.7,2.7,.250,0.3,0.3,1.000,.444,0.3,0.7,.500,0.7,2.0,2.7,2.3,2.0,0.7,0.0,2.3,3.0,2024
