Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,season
Nic Claxton,C,23,BRK,4,117,18.5,.714,.000,.400,5.0,26.1,15.7,9.2,0.5,5.5,9.3,13.6,,0.3,0.2,0.4,.172,,0.9,2.5,3.5,0.2,2023
Amir Coffey,SF,25,LAC,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.048,,-3.7,-1.8,-5.5,0.0,2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
John Collins,PF,25,ATL,6,164,10.1,.543,.533,.100,4.2,13.8,8.6,4.0,0.6,3.4,12.6,18.0,,0.0,0.0,0.0,-0.007,,-2.3,-1.1,-3.5,-0.1,2023
Mike Conley,PG,35,MIN,5,183,13.3,.640,.524,.262,1.2,7.2,4.1,26.4,0.8,0.0,13.0,13.6,,0.4,0.0,0.4,.097,,0.7,-0.1,0.6,0.1,2023
Pat Connaughton,SF,30,MIL,4,88,21.3,.756,.767,.133,4.9,21.4,12.8,11.3,2.1,1.0,5.9,16.1,,0.3,0.1,0.4,.209,,4.4,2.9,7.3,0.2,2023
Robert Covington,PF,32,LAC,2,12,-1.9,.000,.667,.000,0.0,20.6,9.7,19.6,0.0,6.3,0.0,10.5,,0.0,0.0,0.0,-0.174,,-9.0,1.4,-7.6,0.0,2023
Torrey Craig,PF,32,PHO,11,183,14.1,.725,.556,.200,4.6,11.2,8.0,4.3,1.3,0.9,5.8,12.5,,0.5,0.0,0.5,.131,,1.0,0.9,1.8,0.2,2023
Jae Crowder,PF,32,MIL,4,41,0.0,.252,.462,.154,2.6,8.6,5.5,8.9,2.3,0.0,6.7,15.3,,-0.1,0.0,-0.1,-0.132,,-9.3,-2.5,-11.8,-0.1,2023
Seth Curry,SG,32,BRK,3,58,13.8,.615,.474,.158,0.0,5.8,3.0,19.3,0.0,0.0,4.7,18.1,,0.1,0.0,0.1,.075,,1.3,-0.4,0.9,0.0,2023
Stephen Curry,PG,34,GSW,13,493,20.4,.588,.505,.186,1.9,12.3,7.0,27.7,1.3,1.0,11.1,31.6,,0.9,0.5,1.3,.131,,6.1,0.4,6.5,1.1,2023
Anthony Davis,C,29,LAL,16,608,24.0,.599,.059,.425,7.0,30.9,19.7,10.7,1.8,7.4,10.1,24.2,,1.1,1.4,2.6,.202,,2.8,3.0,5.7,1.2,2023
Terence Davis,SG,25,SAC,4,58,10.2,.575,.850,.100,3.4,12.7,7.9,14.4,0.8,0.0,8.7,15.6,,0.1,0.0,0.1,.114,,-0.9,1.6,0.7,0.0,2023
Dewayne Dedmon,C,33,PHI,1,5,-20.0,.000,1.000,.000,0.0,23.9,11.7,0.0,0.0,0.0,50.0,18.5,,-0.1,0.0,-0.1,-0.494,,-21.7,-5.9,-27.6,0.0,2023
Spencer Dinwiddie,PG,29,BRK,4,159,12.8,.544,.353,.431,0.7,8.5,4.7,28.7,1.7,0.6,16.5,22.5,,0.0,0.1,0.1,.018,,-0.8,-0.5,-1.3,0.0,2023
Donte DiVincenzo,SG,26,GSW,13,235,10.4,.512,.688,.188,4.8,12.5,8.6,19.9,2.2,1.1,19.7,15.1,,0.0,0.3,0.3,.060,,-1.8,1.9,0.1,0.1,2023
PJ Dozier,SF,26,SAC,3,6,40.9,.667,.667,.000,16.5,17.5,17.0,0.0,0.0,0.0,0.0,39.7,,0.0,0.0,0.0,.281,,23.1,1.1,24.1,0.0,2023
Goran Dragić,PG,36,MIL,2,7,16.4,.532,.500,2.000,0.0,0.0,0.0,15.9,0.0,0.0,0.0,22.6,,0.0,0.0,0.0,.156,,-0.4,-3.1,-3.5,0.0,2023
David Duke Jr.,SG,23,BRK,1,5,-15.4,.333,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,39.4,,-0.1,0.0,-0.1,-0.614,,-24.8,-12.5,-37.3,0.0,2023
Kevin Durant,PF,34,PHO,11,466,21.1,.599,.228,.429,1.8,21.8,12.0,19.6,1.0,2.7,12.8,28.8,,0.9,0.2,1.1,.114,,3.7,0.9,4.6,0.8,2023
Anthony Edwards,SG,21,MIN,5,199,27.5,.602,.377,.342,1.7,13.2,7.3,26.4,2.3,4.4,5.7,32.3,,0.6,0.2,0.8,.190,,7.3,3.2,10.4,0.6,2023
Kessler Edwards,SF,22,SAC,6,7,1.7,,,,0.0,15.0,7.3,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.026,,-5.8,-0.3,-6.2,0.0,2023
Joel Embiid,C,28,PHI,9,336,20.3,.561,.183,.549,5.4,25.6,15.3,12.7,0.9,8.1,15.6,31.0,,0.1,0.5,0.6,.090,,0.9,1.0,1.9,0.3,2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Dorian Finney-Smith,PF,29,BRK,4,101,8.5,.543,.739,.000,7.0,13.4,10.2,4.8,1.6,1.8,17.9,13.6,,-0.1,0.1,0.0,.009,,-2.1,0.9,-1.2,0.0,2023
De'Aaron Fox,PG,25,SAC,7,270,18.9,.524,.382,.248,4.4,10.1,7.2,33.6,2.6,1.4,13.3,31.0,,0.2,0.3,0.5,.092,,4.0,1.0,5.0,0.5,2023
Wenyen Gabriel,C,25,LAL,10,37,12.0,.442,.000,.300,24.4,2.7,12.9,0.0,2.6,7.3,15.0,15.8,,0.0,0.1,0.1,.077,,-6.2,-0.3,-6.4,0.0,2023
Darius Garland,PG,23,CLE,5,189,13.3,.566,.388,.313,0.0,5.3,2.8,24.1,2.2,0.5,16.5,27.0,,0.0,0.2,0.2,.056,,0.7,0.5,1.2,0.2,2023
Rudy Gobert,C,30,MIN,5,177,18.2,.648,.000,.587,11.6,29.0,20.1,9.3,0.6,2.5,12.1,17.2,,0.4,0.1,0.5,.145,,-0.3,0.7,0.3,0.1,2023
Aaron Gordon,PF,27,DEN,20,713,14.1,.588,.236,.354,8.3,11.2,9.8,9.9,0.8,1.6,8.2,15.5,,1.4,0.7,2.1,.142,,0.4,-0.6,-0.2,0.3,2023
Eric Gordon,SG,34,LAC,5,149,9.2,.547,.659,.136,0.7,5.0,2.7,12.0,1.0,1.0,7.9,14.3,,0.1,-0.1,0.1,.019,,-0.9,-0.4,-1.3,0.0,2023
Danny Green,SG,35,CLE,4,40,1.7,.300,.800,.000,6.1,14.0,10.2,3.5,2.6,2.2,28.6,8.2,,-0.1,0.1,0.0,-0.003,,-7.8,3.1,-4.8,0.0,2023
Draymond Green,PF,32,GSW,12,367,14.6,.535,.220,.363,5.3,18.3,11.7,29.4,2.3,2.8,20.4,14.9,,0.4,0.6,1.0,.126,,-1.2,4.1,2.8,0.5,2023
