Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,season
Oshae Brissett,SF,25,BOS,8,90,5.0,.314,.529,.706,10.1,14.9,12.6,4.1,2.2,0.0,8.2,11.8,-0.1,0.2,0.1,.027,-6.3,0.3,-6.0,-0.1,2024
Malcolm Brogdon,PG,31,POR,10,271,19.9,.532,.377,.232,3.8,15.0,8.9,37.5,1.3,0.0,8.3,28.5,0.5,0.2,0.7,.120,4.3,-0.8,3.5,0.4,2024
Armoni Brooks,PG,25,BRK,4,41,10.7,.567,.733,.000,5.2,17.8,11.6,0.0,0.0,0.0,6.3,16.7,0.0,0.0,0.0,.045,-0.8,-3.2,-4.0,0.0,2024
Dillon Brooks,SF,28,HOU,14,437,11.2,.605,.400,.250,2.5,10.5,6.6,8.6,1.8,0.2,13.4,18.2,0.2,0.7,1.0,.105,-2.5,0.9,-1.7,0.0,2024
Bruce Brown,SG,27,IND,15,471,11.3,.568,.403,.201,1.9,13.3,7.6,10.3,1.8,0.8,9.6,14.5,0.4,0.1,0.5,.054,-1.5,-0.8,-2.3,0.0,2024
Jaylen Brown,SF,27,BOS,15,514,15.1,.541,.396,.226,1.3,12.8,7.4,16.2,1.6,1.4,10.8,28.2,0.0,0.8,0.8,.079,-0.8,0.3,-0.5,0.2,2024
,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Kobe Brown,PF,24,LAC,7,57,8.8,.531,.563,.000,5.9,14.8,10.5,4.8,0.9,1.6,5.9,12.8,0.0,0.1,0.1,.092,-3.1,-0.8,-4.0,0.0,2024
Moses Brown,C,24,POR,3,14,27.1,.510,.000,.400,29.6,8.8,20.1,12.3,3.5,6.3,0.0,17.9,0.0,0.0,0.1,.204,3.9,-2.1,1.8,0.0,2024
Troy Brown Jr.,SF,24,MIN,11,107,10.9,.467,.556,.519,8.9,20.0,14.9,7.2,1.4,0.8,8.3,14.7,0.0,0.2,0.2,.108,-2.6,0.1,-2.5,0.0,2024
Jalen Brunson,PG,27,NYK,15,527,18.9,.575,.346,.261,2.0,8.9,5.3,24.0,1.0,0.0,8.7,27.7,1.3,0.6,1.8,.168,4.0,-0.2,3.8,0.8,2024
Thomas Bryant,C,26,MIA,12,162,12.4,.537,.057,.283,8.2,23.6,15.7,6.6,1.8,2.4,16.8,19.6,-0.1,0.3,0.2,.057,-4.7,-0.5,-5.2,-0.1,2024
Kobe Bufkin,SG,20,ATL,2,4,-9.9,.129,.333,.667,27.5,27.8,27.7,0.0,0.0,0.0,0.0,39.5,0.0,0.0,0.0,-0.500,-18.6,-13.1,-31.7,0.0,2024
Reggie Bullock,SF,32,HOU,7,64,1.4,.273,.909,.000,1.7,18.3,10.2,5.8,0.8,1.5,15.4,9.0,-0.1,0.1,0.0,-0.018,-6.0,-0.1,-6.0,-0.1,2024
Alec Burks,SG,32,DET,10,223,16.2,.575,.652,.413,3.0,11.8,7.4,14.7,1.1,1.4,4.4,21.3,0.6,0.1,0.7,.142,2.5,-0.6,1.9,0.2,2024
Jared Butler,SG,23,WAS,5,29,17.1,.643,.583,.083,0.0,7.5,3.7,29.1,3.2,2.8,19.4,22.4,0.0,0.0,0.0,.074,0.3,0.8,1.1,0.0,2024
Jimmy Butler,PF,34,MIA,14,466,21.7,.600,.210,.544,6.4,10.7,8.5,19.2,2.0,1.7,9.0,25.3,1.3,0.6,1.9,.193,3.7,-0.2,3.5,0.7,2024
Jamal Cain,PF,24,MIA,4,59,8.2,.486,.467,.067,5.6,11.8,8.6,0.0,3.4,0.0,11.5,13.1,-0.1,0.1,0.0,.030,-4.7,0.9,-3.8,0.0,2024
Kentavious Caldwell-Pope,SG,30,DEN,16,547,10.4,.593,.481,.218,1.6,4.8,3.2,9.0,2.4,1.4,12.6,13.2,0.4,0.6,1.0,.087,-2.3,0.7,-1.7,0.0,2024
Toumani Camara,PF,23,POR,15,385,8.0,.479,.471,.294,7.0,13.2,9.8,6.9,1.5,2.3,15.0,12.5,-0.1,0.3,0.2,.027,-4.5,0.0,-4.5,-0.2,2024
Clint Capela,C,29,ATL,15,369,22.0,.614,.000,.310,19.4,25.4,22.3,5.2,1.3,5.7,6.4,15.5,1.1,0.4,1.5,.196,2.4,-0.6,1.8,0.3,2024
Jevon Carter,PG,28,CHI,17,247,8.2,.503,.677,.011,0.4,3.8,2.0,12.1,1.6,2.1,10.5,18.7,-0.2,0.1,0.0,-0.009,-3.0,-1.1,-4.1,-0.1,2024
Wendell Carter Jr.,C,24,ORL,5,147,8.7,.459,.356,.311,8.4,25.3,16.7,7.5,1.0,1.3,13.5,16.9,-0.1,0.3,0.2,.049,-4.2,-0.6,-4.8,-0.1,2024
Alex Caruso,SG,29,CHI,15,360,18.5,.721,.556,.300,5.5,11.5,8.3,13.7,2.8,3.5,12.8,14.4,0.9,0.4,1.4,.180,2.5,2.4,4.9,0.6,2024
Colin Castleton,C,23,LAL,2,19,7.4,.500,.000,.000,12.4,5.4,8.6,13.9,0.0,0.0,0.0,9.2,0.0,0.0,0.0,.119,-5.2,-2.8,-8.0,0.0,2024
Malcolm Cazalon,SG,22,DET,1,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.017,-6.1,-3.2,-9.2,0.0,2024
Julian Champagnie,SF,22,SAS,9,135,6.0,.399,.640,.120,2.4,10.3,6.2,8.8,2.1,5.5,14.6,19.2,-0.4,0.1,-0.3,-0.096,-4.5,-0.8,-5.3,-0.1,2024
,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Max Christie,SG,20,LAL,12,195,6.1,.461,.462,.096,1.8,16.8,9.8,8.1,1.0,0.9,12.9,13.9,-0.2,0.2,0.0,.006,-5.2,-0.7,-5.9,-0.2,2024
Sidy Cissoko,SF,19,SAS,1,4,-12.1,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10.5,0.0,0.0,0.0,-0.360,-15.1,-6.7,-21.7,0.0,2024
Jordan Clarkson,SG,31,UTA,15,478,12.7,.521,.350,.217,4.4,6.9,5.6,22.6,1.4,0.4,15.7,26.7,0.0,0.0,0.0,.000,-1.2,-3.6,-4.8,-0.3,2024
Nic Claxton,C,24,BRK,7,186,23.3,.671,.000,.281,11.6,21.3,16.5,9.5,1.3,9.5,8.6,16.1,0.6,0.3,0.8,.218,1.8,2.3,4.1,0.3,2024
Noah Clowney,PF,19,BRK,1,3,4.1,,,,0.0,34.7,17.6,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.046,-4.1,-2.2,-6.2,0.0,2024
Amir Coffey,SF,26,LAC,8,56,5.1,.436,.250,.333,4.0,9.4,6.8,6.9,0.9,0.0,12.7,12.1,0.0,0.1,0.0,.020,-5.5,-1.4,-6.9,-0.1,2024
John Collins,PF,26,UTA,16,502,15.5,.590,.309,.247,9.9,20.9,15.3,4.1,1.0,2.5,8.8,17.6,0.8,0.2,1.0,.100,-0.3,-2.1,-2.4,0.0,2024
Zach Collins,C,26,SAS,16,475,14.4,.593,.379,.270,7.2,17.3,12.0,19.1,1.1,2.5,18.1,21.0,0.3,0.2,0.5,.048,-1.2,-0.6,-1.9,0.0,2024
